CustomerID,Age,Gender,Tenure_Months,Monthly_Charges,Contract_Type,Internet_Service,Tech_Support,Payment_Method,Churn
95,74,Male,68,97.73,Two Year,Fiber Optic,Yes,Mailed Check,No
96,57,Male,30,76.87,Month-to-Month,DSL,No,Bank Transfer,Yes
97,38,Female,60,93.84,Month-to-Month,Fiber Optic,No,Electronic Check,Yes
98,33,Female,53,59.36,Month-to-Month,DSL,No,Electronic Check,Yes
99,62,Male,36,50.84,Month-to-Month,DSL,No,Electronic Check,No
100,35,Male,30,100.54,One Year,Fiber Optic,No,Bank Transfer,Yes
101,64,Female,64,105.18,Month-to-Month,No,No,Bank Transfer,Yes
102,70,Male,14,25.16,Month-to-Month,Fiber Optic,No,Credit Card,No
103,41,Male,23,69.69,Month-to-Month,DSL,Yes,Credit Card,No
104,43,Female,48,85.2,Two Year,No,No,Bank Transfer,Yes
105,42,Male,28,19.2,Month-to-Month,DSL,No,Credit Card,No
106,62,Male,7,112.26,Month-to-Month,Fiber Optic,Yes,Bank Transfer,Yes
107,58,Male,42,67.21,Month-to-Month,DSL,No,Bank Transfer,Yes
108,46,Male,10,81.0,Month-to-Month,Fiber Optic,No,Bank Transfer,Yes
109,32,Male,68,29.61,Month-to-Month,DSL,Yes,Electronic Check,No
110,62,Male,44,39.09,Two Year,Fiber Optic,No,Mailed Check,No
111,18,Female,13,23.31,Month-to-Month,Fiber Optic,Yes,Mailed Check,Yes
112,42,Male,33,39.04,Month-to-Month,Fiber Optic,No,Bank Transfer,Yes
113,24,Female,32,64.16,Month-to-Month,DSL,No,Electronic Check,Yes
114,26,Female,48,101.7,Two Year,DSL,No,Mailed Check,Yes
115,41,Female,5,68.71,Month-to-Month,DSL,Yes,Mailed Check,Yes
116,18,Female,61,36.89,One Year,Fiber Optic,No,Credit Card,No
117,61,Female,3,14.91,One Year,No,Yes,Bank Transfer,No
118,25,Female,24,78.42,Two Year,DSL,Yes,Credit Card,No
119,41,Female,34,56.22,Month-to-Month,DSL,No,Electronic Check,Yes
120,28,Female,42,118.28,Month-to-Month,Fiber Optic,No,Mailed Check,Yes
121,68,Male,20,95.77,One Year,Fiber Optic,No,Bank Transfer,Yes
122,34,Female,41,98.92,Month-to-Month,DSL,No,Bank Transfer,Yes
123,25,Female,20,11.35,One Year,Fiber Optic,No,Electronic Check,No
124,52,Female,6,95.56,Month-to-Month,DSL,No,Credit Card,No
125,52,Male,57,31.41,Month-to-Month,DSL,No,Mailed Check,No
126,50,Female,42,74.44,Two Year,Fiber Optic,No,Bank Transfer,No
127,22,Male,25,59.22,Two Year,Fiber Optic,Yes,Credit Card,Yes
128,59,Female,41,72.88,Month-to-Month,Fiber Optic,No,Mailed Check,Yes
129,56,Female,41,24.68,Month-to-Month,Fiber Optic,Yes,Electronic Check,Yes
130,58,Male,3,60.26,Month-to-Month,No,Yes,Electronic Check,No
131,45,Female,43,14.06,Month-to-Month,DSL,Yes,Electronic Check,Yes
132,24,Male,46,14.51,Month-to-Month,DSL,No,Electronic Check,Yes
133,26,Male,57,82.35,Month-to-Month,DSL,No,Credit Card,No
134,25,Female,51,114.69,Two Year,DSL,Yes,Credit Card,No
135,29,Female,5,95.51,Month-to-Month,Fiber Optic,Yes,Electronic Check,No
136,51,Male,15,61.61,One Year,DSL,No,Credit Card,No
137,50,Male,39,16.15,Month-to-Month,Fiber Optic,Yes,Electronic Check,No
138,65,Female,70,14.95,Month-to-Month,Fiber Optic,No,Electronic Check,Yes
139,72,Female,38,27.37,Month-to-Month,Fiber Optic,Yes,Mailed Check,Yes
140,40,Female,39,117.34,Month-to-Month,Fiber Optic,No,Bank Transfer,Yes
141,41,Male,52,53.85,Two Year,DSL,Yes,Credit Card,No
142,54,Female,3,102.77,Two Year,Fiber Optic,No,Electronic Check,Yes
143,52,Male,29,87.57,Month-to-Month,Fiber Optic,Yes,Credit Card,Yes
144,61,Female,31,76.6,One Year,Fiber Optic,No,Bank Transfer,No
145,57,Male,66,114.26,Month-to-Month,DSL,No,Bank Transfer,Yes
146,39,Male,45,35.35,Month-to-Month,DSL,No,Credit Card,No
147,44,Female,22,60.04,Month-to-Month,DSL,No,Bank Transfer,Yes
148,52,Male,10,105.12,One Year,DSL,Yes,Bank Transfer,No
149,18,Male,21,70.69,Month-to-Month,DSL,No,Credit Card,No
150,52,Male,17,37.11,Month-to-Month,DSL,No,Electronic Check,Yes
151,54,Male,67,32.98,Two Year,No,No,Bank Transfer,No
152,64,Male,7,92.82,Month-to-Month,DSL,No,Bank Transfer,No
153,31,Female,36,11.41,Month-to-Month,Fiber Optic,Yes,Electronic Check,Yes
154,20,Female,67,110.56,Two Year,Fiber Optic,No,Credit Card,Yes
155,18,Male,30,12.03,Month-to-Month,Fiber Optic,Yes,Electronic Check,No
156,22,Female,71,79.41,Month-to-Month,DSL,Yes,Credit Card,Yes
157,43,Male,29,76.52,Month-to-Month,Fiber Optic,No,Mailed Check,Yes
158,72,Male,33,73.63,Two Year,Fiber Optic,No,Bank Transfer,No
159,31,Female,59,62.18,Month-to-Month,No,No,Mailed Check,Yes
160,56,Male,20,103.77,Month-to-Month,DSL,No,Electronic Check,No
161,44,Male,29,82.53,Month-to-Month,Fiber Optic,Yes,Mailed Check,No
162,26,Male,53,96.0,Month-to-Month,Fiber Optic,Yes,Mailed Check,Yes
163,32,Female,1,22.71,One Year,DSL,No,Mailed Check,Yes
164,32,Female,34,15.49,Month-to-Month,Fiber Optic,No,Credit Card,Yes
165,43,Male,44,13.14,Month-to-Month,DSL,No,Bank Transfer,No
166,59,Male,14,26.19,Month-to-Month,DSL,No,Credit Card,Yes
167,30,Male,37,83.37,Two Year,No,No,Credit Card,No
168,68,Male,35,64.34,Month-to-Month,DSL,Yes,Mailed Check,Yes
169,49,Male,59,92.75,Month-to-Month,Fiber Optic,No,Bank Transfer,Yes
170,56,Female,24,31.09,One Year,Fiber Optic,No,Credit Card,Yes
171,66,Female,65,50.37,One Year,DSL,Yes,Mailed Check,No
172,69,Female,6,107.73,One Year,No,No,Electronic Check,No
173,49,Female,68,112.93,Month-to-Month,DSL,No,Credit Card,Yes
174,21,Male,38,111.39,Month-to-Month,DSL,No,Bank Transfer,Yes
175,47,Male,1,100.01,Month-to-Month,DSL,No,Credit Card,No
176,54,Female,41,85.71,One Year,Fiber Optic,No,Mailed Check,No
177,40,Female,31,110.5,Month-to-Month,DSL,No,Mailed Check,No
178,56,Male,36,88.56,Month-to-Month,Fiber Optic,No,Credit Card,Yes
179,62,Female,54,114.93,Month-to-Month,Fiber Optic,No,Credit Card,Yes
180,32,Male,31,12.73,Two Year,DSL,No,Bank Transfer,No
181,60,Male,29,111.38,One Year,Fiber Optic,No,Electronic Check,Yes
182,46,Male,3,71.13,Month-to-Month,Fiber Optic,Yes,Bank Transfer,Yes
183,53,Female,58,22.3,Month-to-Month,Fiber Optic,Yes,Mailed Check,Yes
184,30,Female,61,33.64,Month-to-Month,Fiber Optic,No,Mailed Check,Yes
185,49,Female,6,103.74,Month-to-Month,No,No,Electronic Check,No
186,24,Female,20,65.67,One Year,DSL,No,Electronic Check,No
187,68,Female,61,118.11,One Year,Fiber Optic,No,Electronic Check,No
188,39,Male,46,22.93,One Year,Fiber Optic,Yes,Credit Card,No
189,45,Female,13,55.38,Two Year,DSL,No,Bank Transfer,No
190,19,Male,23,46.51,Month-to-Month,No,No,Credit Card,Yes
191,59,Male,31,66.77,Two Year,DSL,No,Mailed Check,No
192,62,Male,4,79.68,One Year,Fiber Optic,No,Bank Transfer,No
193,74,Female,66,82.78,Month-to-Month,DSL,No,Electronic Check,No
194,70,Female,16,10.14,Two Year,Fiber Optic,No,Mailed Check,Yes
195,23,Female,31,19.79,Two Year,Fiber Optic,No,Bank Transfer,No
196,45,Female,48,13.86,Two Year,Fiber Optic,No,Bank Transfer,Yes
197,45,Female,43,105.11,Month-to-Month,Fiber Optic,No,Credit Card,Yes
198,61,Female,4,44.46,Month-to-Month,Fiber Optic,Yes,Bank Transfer,Yes
199,61,Female,62,50.38,Two Year,Fiber Optic,No,Bank Transfer,No
200,37,Female,48,59.54,Month-to-Month,Fiber Optic,Yes,Mailed Check,Yes
201,47,Male,28,103.42,One Year,DSL,No,Bank Transfer,Yes
202,28,Female,16,11.56,One Year,Fiber Optic,Yes,Mailed Check,No
203,72,Male,69,23.05,One Year,DSL,Yes,Mailed Check,No
204,45,Male,30,85.37,Month-to-Month,Fiber Optic,No,Credit Card,Yes
205,42,Male,65,116.03,Month-to-Month,DSL,No,Credit Card,No
206,56,Male,69,80.71,Two Year,DSL,No,Bank Transfer,No
207,50,Female,14,38.72,Month-to-Month,No,Yes,Mailed Check,Yes
208,18,Female,34,67.19,One Year,Fiber Optic,No,Bank Transfer,No
209,74,Male,56,117.25,One Year,No,Yes,Credit Card,No
210,44,Male,29,68.09,Month-to-Month,Fiber Optic,No,Electronic Check,Yes
211,74,Male,25,51.09,Month-to-Month,Fiber Optic,No,Bank Transfer,Yes
212,69,Female,66,52.18,One Year,Fiber Optic,No,Credit Card,No
213,30,Male,40,116.37,Month-to-Month,DSL,Yes,Mailed Check,No
214,58,Male,15,89.08,Month-to-Month,DSL,No,Mailed Check,Yes
215,20,Female,32,85.59,Two Year,Fiber Optic,Yes,Credit Card,Yes
216,56,Male,20,35.53,Month-to-Month,Fiber Optic,Yes,Electronic Check,No
217,23,Female,53,71.54,Two Year,Fiber Optic,No,Bank Transfer,Yes
218,25,Female,67,49.24,Month-to-Month,DSL,Yes,Electronic Check,No
219,44,Male,49,36.42,One Year,Fiber Optic,No,Credit Card,Yes
220,26,Male,67,108.51,Month-to-Month,DSL,No,Bank Transfer,Yes
221,54,Male,1,52.15,Month-to-Month,Fiber Optic,No,Electronic Check,No
222,50,Female,39,41.11,Two Year,Fiber Optic,Yes,Bank Transfer,No
223,68,Female,61,112.49,Month-to-Month,DSL,No,Credit Card,Yes
224,59,Female,55,31.71,Month-to-Month,Fiber Optic,No,Electronic Check,Yes
225,61,Male,69,92.01,One Year,Fiber Optic,No,Bank Transfer,Yes
226,41,Male,2,81.8,One Year,Fiber Optic,Yes,Electronic Check,No
227,32,Male,17,111.25,Two Year,Fiber Optic,No,Electronic Check,Yes
228,71,Male,29,101.53,Month-to-Month,DSL,No,Mailed Check,Yes
229,49,Male,4,87.58,Month-to-Month,No,No,Mailed Check,Yes
230,49,Male,64,44.6,Month-to-Month,No,No,Mailed Check,Yes
231,41,Female,43,64.51,Month-to-Month,Fiber Optic,Yes,Electronic Check,Yes
232,58,Female,12,113.89,Month-to-Month,Fiber Optic,No,Bank Transfer,Yes
233,69,Female,50,12.55,Month-to-Month,DSL,No,Electronic Check,Yes
234,66,Male,68,97.38,One Year,DSL,No,Bank Transfer,No
235,66,Female,61,37.7,One Year,Fiber Optic,No,Electronic Check,No
236,69,Female,51,30.35,Month-to-Month,DSL,Yes,Electronic Check,No
237,29,Female,5,35.54,Two Year,DSL,No,Mailed Check,No
238,56,Male,28,16.57,Month-to-Month,Fiber Optic,Yes,Bank Transfer,Yes
239,19,Male,10,119.12,Two Year,DSL,No,Electronic Check,No
240,20,Female,52,105.69,Two Year,DSL,No,Credit Card,Yes
241,66,Male,17,67.32,Month-to-Month,DSL,No,Credit Card,Yes
242,54,Male,65,88.66,Month-to-Month,Fiber Optic,No,Mailed Check,Yes
243,66,Male,21,71.23,Month-to-Month,Fiber Optic,Yes,Bank Transfer,Yes
244,73,Male,54,99.27,One Year,DSL,No,Bank Transfer,No
245,34,Female,49,102.92,Month-to-Month,Fiber Optic,Yes,Bank Transfer,Yes
246,66,Male,22,35.61,One Year,DSL,No,Bank Transfer,No
247,19,Female,69,60.57,Month-to-Month,DSL,Yes,Credit Card,No
248,19,Female,64,79.83,Month-to-Month,DSL,No,Electronic Check,No
249,45,Male,36,117.63,Two Year,DSL,No,Credit Card,Yes
250,71,Male,21,85.1,One Year,DSL,No,Mailed Check,No
251,40,Male,56,108.74,Month-to-Month,Fiber Optic,No,Electronic Check,Yes
252,54,Female,48,103.07,Month-to-Month,No,Yes,Mailed Check,No
253,49,Female,18,74.03,Month-to-Month,Fiber Optic,No,Electronic Check,Yes
254,50,Female,15,108.3,Two Year,DSL,No,Electronic Check,No
255,18,Female,44,51.52,Month-to-Month,Fiber Optic,No,Credit Card,Yes
256,36,Female,45,51.72,Two Year,Fiber Optic,Yes,Mailed Check,No
257,19,Female,36,95.91,Month-to-Month,DSL,No,Mailed Check,No
258,70,Female,40,24.8,Month-to-Month,DSL,No,Bank Transfer,No
259,61,Male,51,43.64,One Year,Fiber Optic,Yes,Credit Card,No
260,43,Female,30,76.94,Month-to-Month,DSL,No,Mailed Check,Yes
261,49,Female,26,56.21,Two Year,Fiber Optic,Yes,Mailed Check,No
262,23,Female,31,113.48,Month-to-Month,DSL,Yes,Bank Transfer,No
263,49,Female,56,115.44,Two Year,Fiber Optic,No,Electronic Check,Yes
264,72,Male,61,65.28,Two Year,Fiber Optic,No,Credit Card,No
265,21,Female,17,69.3,One Year,Fiber Optic,No,Electronic Check,Yes
266,72,Female,24,89.71,Month-to-Month,DSL,Yes,Bank Transfer,No
267,28,Male,4,60.3,Month-to-Month,Fiber Optic,No,Mailed Check,Yes
268,73,Male,9,30.91,Month-to-Month,DSL,Yes,Bank Transfer,Yes
269,34,Female,2,92.17,Two Year,Fiber Optic,No,Electronic Check,Yes
270,55,Female,35,91.16,Month-to-Month,DSL,No,Bank Transfer,No
271,41,Female,38,36.95,Month-to-Month,DSL,Yes,Mailed Check,Yes
272,22,Female,45,101.62,Two Year,Fiber Optic,No,Bank Transfer,No
273,69,Female,15,77.5,Month-to-Month,DSL,No,Bank Transfer,Yes
274,51,Female,42,35.99,Month-to-Month,Fiber Optic,Yes,Bank Transfer,Yes
275,23,Male,3,81.72,One Year,Fiber Optic,Yes,Electronic Check,No
276,39,Male,31,35.7,Two Year,Fiber Optic,No,Bank Transfer,No
277,28,Female,52,39.18,Month-to-Month,No,Yes,Mailed Check,No
278,65,Female,41,103.28,Two Year,DSL,No,Electronic Check,Yes
279,33,Female,57,112.24,Month-to-Month,DSL,No,Credit Card,No
280,50,Male,42,38.26,One Year,Fiber Optic,No,Electronic Check,Yes
281,26,Female,53,112.09,Month-to-Month,DSL,No,Electronic Check,No
282,23,Male,56,36.27,Month-to-Month,Fiber Optic,No,Mailed Check,Yes
283,33,Male,53,22.9,One Year,DSL,No,Mailed Check,No
284,46,Female,32,16.4,Month-to-Month,Fiber Optic,Yes,Bank Transfer,No
285,20,Male,54,36.63,Month-to-Month,Fiber Optic,No,Electronic Check,Yes
286,37,Female,37,52.38,Month-to-Month,Fiber Optic,Yes,Mailed Check,Yes
287,53,Male,8,112.03,One Year,DSL,No,Mailed Check,No
288,36,Female,11,36.64,Month-to-Month,DSL,No,Electronic Check,Yes
289,43,Female,54,50.2,Month-to-Month,DSL,No,Credit Card,No
290,20,Male,60,90.76,Month-to-Month,Fiber Optic,Yes,Bank Transfer,Yes
291,36,Male,10,43.23,Month-to-Month,Fiber Optic,Yes,Mailed Check,Yes
292,37,Male,70,85.28,One Year,Fiber Optic,No,Credit Card,No
293,49,Female,42,57.53,One Year,No,No,Credit Card,No
294,24,Male,37,31.61,One Year,DSL,No,Mailed Check,No
295,69,Male,58,90.75,Month-to-Month,Fiber Optic,Yes,Electronic Check,Yes
296,58,Female,59,12.97,Month-to-Month,Fiber Optic,No,Electronic Check,Yes
297,50,Female,24,42.16,Month-to-Month,DSL,Yes,Mailed Check,No
298,57,Male,28,49.18,Two Year,Fiber Optic,No,Credit Card,Yes
299,56,Male,37,60.4,Month-to-Month,Fiber Optic,Yes,Mailed Check,Yes
300,35,Male,21,84.79,Month-to-Month,No,No,Mailed Check,Yes
301,57,Female,33,60.53,Month-to-Month,DSL,No,Credit Card,Yes
302,18,Female,2,75.38,One Year,Fiber Optic,No,Electronic Check,No
303,28,Male,28,75.54,Month-to-Month,DSL,No,Credit Card,Yes
304,45,Female,15,51.06,Month-to-Month,DSL,No,Electronic Check,No
305,74,Male,1,112.74,Month-to-Month,Fiber Optic,No,Credit Card,Yes
306,42,Male,28,115.14,One Year,Fiber Optic,No,Electronic Check,Yes
307,67,Female,50,74.0,Month-to-Month,Fiber Optic,Yes,Mailed Check,Yes
308,40,Male,35,17.89,Month-to-Month,Fiber Optic,No,Electronic Check,Yes
309,48,Male,28,64.02,Month-to-Month,Fiber Optic,Yes,Bank Transfer,No
310,47,Female,9,30.29,Month-to-Month,No,No,Electronic Check,No
311,59,Male,24,63.15,Month-to-Month,No,Yes,Bank Transfer,No
312,52,Male,63,30.73,One Year,Fiber Optic,No,Electronic Check,No
313,24,Female,4,87.42,Month-to-Month,No,Yes,Bank Transfer,No
314,33,Male,56,18.85,One Year,DSL,Yes,Electronic Check,No
315,43,Male,41,114.86,One Year,DSL,No,Mailed Check,No
316,65,Female,67,31.49,Month-to-Month,DSL,No,Electronic Check,No
317,74,Female,48,82.67,Two Year,No,No,Mailed Check,No
318,69,Female,58,110.87,Two Year,Fiber Optic,Yes,Electronic Check,No
319,66,Male,39,37.27,Month-to-Month,No,No,Mailed Check,Yes
320,19,Female,25,112.77,Month-to-Month,DSL,Yes,Bank Transfer,No
321,18,Male,60,52.75,Month-to-Month,DSL,Yes,Mailed Check,No
322,65,Female,47,115.66,Two Year,Fiber Optic,No,Mailed Check,No
323,29,Male,61,116.85,Two Year,DSL,No,Credit Card,No
324,22,Male,27,30.69,One Year,Fiber Optic,Yes,Credit Card,No
325,54,Female,42,101.42,Month-to-Month,Fiber Optic,No,Mailed Check,Yes
326,49,Male,52,31.28,One Year,Fiber Optic,Yes,Credit Card,No
327,72,Male,48,34.91,Month-to-Month,Fiber Optic,Yes,Bank Transfer,Yes
328,26,Female,32,19.25,Month-to-Month,Fiber Optic,No,Mailed Check,No
329,58,Male,24,27.22,One Year,Fiber Optic,No,Mailed Check,No
330,52,Male,3,79.54,Two Year,DSL,No,Mailed Check,No
331,36,Male,27,59.42,Month-to-Month,No,No,Electronic Check,No
332,65,Female,40,97.0,Month-to-Month,Fiber Optic,Yes,Credit Card,No
333,33,Female,23,46.52,Month-to-Month,DSL,No,Credit Card,Yes
334,20,Female,7,116.55,Two Year,Fiber Optic,No,Credit Card,Yes
335,37,Female,37,15.49,One Year,Fiber Optic,No,Electronic Check,Yes
336,41,Female,7,16.92,One Year,No,No,Credit Card,No
337,71,Female,22,87.15,Month-to-Month,Fiber Optic,No,Bank Transfer,Yes
338,73,Female,17,107.63,Month-to-Month,DSL,No,Mailed Check,No
339,50,Female,19,97.51,Month-to-Month,DSL,No,Mailed Check,Yes
340,41,Male,39,63.88,Month-to-Month,DSL,Yes,Credit Card,Yes
341,69,Male,36,39.66,One Year,DSL,No,Electronic Check,Yes
342,28,Male,15,11.48,Month-to-Month,Fiber Optic,No,Mailed Check,Yes
343,66,Male,63,66.04,Month-to-Month,Fiber Optic,No,Bank Transfer,Yes
344,25,Female,29,62.32,One Year,Fiber Optic,Yes,Bank Transfer,No
345,53,Male,60,47.87,Month-to-Month,No,Yes,Mailed Check,Yes
346,55,Male,56,73.59,Month-to-Month,Fiber Optic,No,Mailed Check,Yes
347,57,Male,40,90.17,Month-to-Month,Fiber Optic,Yes,Bank Transfer,Yes
348,37,Male,16,87.1,One Year,Fiber Optic,Yes,Credit Card,No
349,52,Male,33,38.96,Month-to-Month,Fiber Optic,Yes,Electronic Check,Yes
350,65,Female,16,74.38,Month-to-Month,DSL,No,Bank Transfer,Yes
351,42,Female,30,26.37,One Year,DSL,Yes,Mailed Check,No
352,52,Male,66,23.38,One Year,Fiber Optic,No,Mailed Check,No
353,42,Male,44,96.44,Month-to-Month,Fiber Optic,No,Bank Transfer,Yes
354,46,Male,38,86.31,Month-to-Month,Fiber Optic,Yes,Credit Card,Yes
355,35,Male,51,94.47,Two Year,Fiber Optic,No,Mailed Check,Yes
356,63,Female,60,26.77,Month-to-Month,DSL,No,Mailed Check,No
357,35,Male,18,110.61,One Year,Fiber Optic,Yes,Credit Card,No
358,19,Female,5,24.64,Two Year,DSL,Yes,Credit Card,No
359,71,Male,40,105.7,Month-to-Month,Fiber Optic,No,Mailed Check,Yes
360,52,Female,6,48.76,Month-to-Month,DSL,No,Credit Card,Yes
361,33,Female,12,21.6,Month-to-Month,Fiber Optic,No,Bank Transfer,Yes
362,58,Female,12,41.54,Month-to-Month,DSL,Yes,Bank Transfer,Yes
363,53,Male,22,29.96,Month-to-Month,Fiber Optic,No,Electronic Check,Yes
