Age,Gender,Tenure_Months,Monthly_Charges,Contract_Type,Internet_Service,Tech_Support,Payment_Method,Churn
71,Female,60,85.79,Month-to-Month,Fiber Optic,No,Credit Card,Yes
32,Male,2,16.46,Month-to-Month,Fiber Optic,Yes,Credit Card,No
54,Male,17,42.1,Month-to-Month,Fiber Optic,No,Mailed Check,Yes
52,Female,58,85.21,Month-to-Month,DSL,Yes,Credit Card,Yes
26,Female,63,55.69,Month-to-Month,No,No,Mailed Check,Yes
20,Female,14,113.97,One Year,DSL,No,Bank Transfer,Yes
28,Female,22,107.42,Month-to-Month,DSL,Yes,Electronic Check,Yes
53,Female,58,22.3,Month-to-Month,Fiber Optic,Yes,Mailed Check,Yes
21,Female,12,44.67,Month-to-Month,DSL,No,Electronic Check,No
56,Male,45,62.73,Month-to-Month,DSL,Yes,Credit Card,Yes
34,Female,41,56.15,Month-to-Month,Fiber Optic,No,Bank Transfer,Yes
37,Female,22,41.52,Month-to-Month,No,No,Bank Transfer,Yes
23,Male,25,90.07,One Year,Fiber Optic,No,Mailed Check,Yes
59,Female,61,15.67,Month-to-Month,DSL,No,Mailed Check,No
64,Male,68,94.13,Month-to-Month,No,Yes,Electronic Check,No
72,Male,35,99.73,One Year,No,No,Credit Card,No
35,Male,30,100.54,One Year,Fiber Optic,No,Bank Transfer,Yes
71,Male,46,24.43,One Year,Fiber Optic,Yes,Electronic Check,No
27,Male,13,54.15,One Year,DSL,No,Mailed Check,No
53,Male,35,17.33,Month-to-Month,DSL,Yes,Bank Transfer,Yes
38,Female,61,115.9,Two Year,Fiber Optic,No,Electronic Check,Yes
74,Female,32,110.96,Month-to-Month,DSL,Yes,Bank Transfer,No
51,Female,20,71.82,Month-to-Month,DSL,Yes,Bank Transfer,No
43,Male,45,33.15,One Year,No,No,Mailed Check,No
43,Female,50,99.03,Month-to-Month,DSL,No,Bank Transfer,Yes
74,Male,52,79.76,Month-to-Month,Fiber Optic,No,Credit Card,Yes
22,Male,62,118.3,Month-to-Month,Fiber Optic,No,Electronic Check,Yes
25,Female,27,88.35,Month-to-Month,Fiber Optic,No,Credit Card,Yes
30,Female,24,118.5,Month-to-Month,Fiber Optic,Yes,Mailed Check,Yes
22,Female,40,77.05,One Year,Fiber Optic,No,Electronic Check,Yes
18,Female,44,51.52,Month-to-Month,Fiber Optic,No,Credit Card,Yes
61,Male,9,91.81,One Year,DSL,No,Electronic Check,No
18,Male,56,101.97,Month-to-Month,Fiber Optic,No,Mailed Check,Yes
56,Male,22,45.47,Month-to-Month,Fiber Optic,No,Bank Transfer,Yes
42,Male,51,62.38,Month-to-Month,DSL,Yes,Electronic Check,No
18,Male,70,63.18,One Year,Fiber Optic,No,Electronic Check,No
58,Female,26,76.73,One Year,Fiber Optic,No,Mailed Check,No
34,Male,48,50.71,One Year,Fiber Optic,No,Electronic Check,No
29,Male,41,79.24,Two Year,Fiber Optic,No,Electronic Check,Yes
74,Female,4,59.54,Month-to-Month,Fiber Optic,No,Mailed Check,Yes
47,Female,34,47.33,Two Year,No,No,Mailed Check,No
24,Female,29,11.29,One Year,DSL,No,Credit Card,No
32,Female,38,22.18,Month-to-Month,Fiber Optic,Yes,Mailed Check,Yes
65,Male,18,21.52,Month-to-Month,Fiber Optic,No,Bank Transfer,Yes
49,Female,61,14.06,Month-to-Month,DSL,No,Bank Transfer,Yes
43,Female,30,76.94,Month-to-Month,DSL,No,Mailed Check,Yes
44,Male,68,25.02,Month-to-Month,DSL,No,Electronic Check,No
57,Male,6,16.75,Month-to-Month,Fiber Optic,No,Bank Transfer,Yes
47,Male,11,110.19,Month-to-Month,Fiber Optic,Yes,Electronic Check,No
67,Male,20,93.52,One Year,Fiber Optic,No,Bank Transfer,Yes
66,Male,5,23.37,One Year,Fiber Optic,No,Mailed Check,No
40,Male,5,52.45,One Year,No,No,Mailed Check,No
27,Male,4,75.01,One Year,DSL,No,Mailed Check,No
52,Female,40,89.4,Month-to-Month,DSL,No,Bank Transfer,No
42,Male,52,107.42,One Year,DSL,No,Electronic Check,Yes
38,Female,53,80.9,Month-to-Month,DSL,Yes,Bank Transfer,No
38,Female,53,48.34,Two Year,DSL,No,Mailed Check,No
30,Male,64,119.54,Month-to-Month,DSL,No,Mailed Check,Yes
22,Female,4,73.55,One Year,DSL,No,Bank Transfer,Yes
33,Male,30,28.61,One Year,DSL,No,Mailed Check,No
45,Female,35,57.58,Month-to-Month,DSL,No,Mailed Check,Yes
63,Male,24,100.38,Month-to-Month,DSL,Yes,Mailed Check,No
32,Male,7,52.29,Month-to-Month,Fiber Optic,No,Credit Card,Yes
27,Male,24,101.93,Month-to-Month,Fiber Optic,Yes,Credit Card,Yes
25,Male,27,94.54,Month-to-Month,Fiber Optic,No,Mailed Check,Yes
66,Male,10,84.79,One Year,Fiber Optic,Yes,Bank Transfer,Yes
48,Male,43,16.02,Month-to-Month,DSL,No,Mailed Check,Yes
47,Female,53,87.24,One Year,Fiber Optic,No,Mailed Check,No
39,Male,41,106.6,Two Year,Fiber Optic,No,Electronic Check,Yes
47,Male,22,105.84,Month-to-Month,Fiber Optic,No,Mailed Check,Yes
27,Male,54,24.07,One Year,Fiber Optic,No,Bank Transfer,Yes
23,Male,53,56.69,One Year,Fiber Optic,No,Credit Card,No
26,Male,33,47.4,One Year,DSL,No,Credit Card,No
30,Female,34,32.85,Month-to-Month,Fiber Optic,No,Mailed Check,Yes
62,Male,66,67.19,Month-to-Month,DSL,No,Credit Card,Yes
40,Male,27,106.51,Month-to-Month,No,No,Bank Transfer,Yes
65,Male,51,48.58,Month-to-Month,DSL,No,Mailed Check,Yes
29,Male,4,117.39,Month-to-Month,Fiber Optic,No,Bank Transfer,Yes
47,Female,50,13.24,Month-to-Month,DSL,No,Credit Card,No
54,Male,55,34.53,One Year,Fiber Optic,No,Mailed Check,Yes
48,Male,13,89.02,Month-to-Month,Fiber Optic,Yes,Mailed Check,Yes
21,Male,8,21.59,Month-to-Month,Fiber Optic,No,Electronic Check,Yes
28,Female,30,30.3,Two Year,Fiber Optic,Yes,Credit Card,No
72,Male,63,38.31,One Year,Fiber Optic,No,Bank Transfer,Yes
24,Male,61,33.1,Month-to-Month,DSL,No,Mailed Check,No
72,Female,31,64.36,Month-to-Month,Fiber Optic,No,Electronic Check,No
23,Female,14,23.48,Month-to-Month,Fiber Optic,No,Bank Transfer,Yes
64,Male,14,24.94,One Year,Fiber Optic,No,Credit Card,Yes
23,Male,34,30.18,One Year,Fiber Optic,No,Electronic Check,No
29,Male,29,53.66,Month-to-Month,Fiber Optic,Yes,Credit Card,No
71,Male,30,117.58,Month-to-Month,DSL,Yes,Bank Transfer,Yes
25,Male,10,112.88,Month-to-Month,Fiber Optic,No,Electronic Check,Yes
36,Male,31,43.92,Month-to-Month,DSL,No,Electronic Check,Yes
31,Female,59,51.38,One Year,Fiber Optic,No,Mailed Check,Yes
32,Male,5,119.53,Month-to-Month,Fiber Optic,No,Electronic Check,Yes
72,Male,66,28.65,Month-to-Month,DSL,No,Credit Card,Yes
35,Male,71,34.64,Month-to-Month,DSL,No,Electronic Check,Yes
70,Male,57,110.31,Month-to-Month,Fiber Optic,No,Electronic Check,Yes
34,Male,15,113.27,Month-to-Month,DSL,No,Electronic Check,No
47,Male,38,51.53,Month-to-Month,DSL,No,Electronic Check,No
58,Male,28,44.67,Month-to-Month,No,No,Bank Transfer,Yes
43,Male,12,11.59,One Year,Fiber Optic,Yes,Credit Card,No
27,Female,33,49.6,Two Year,Fiber Optic,No,Electronic Check,Yes
22,Female,46,19.54,Month-to-Month,No,Yes,Mailed Check,Yes
39,Female,70,11.77,One Year,No,Yes,Credit Card,No
43,Female,33,115.07,Month-to-Month,Fiber Optic,No,Credit Card,Yes
74,Male,12,79.72,Month-to-Month,Fiber Optic,Yes,Electronic Check,Yes
74,Male,25,99.45,Month-to-Month,Fiber Optic,Yes,Electronic Check,Yes
25,Female,62,96.81,Month-to-Month,No,No,Credit Card,No
38,Male,40,46.22,Two Year,Fiber Optic,No,Electronic Check,No
73,Male,41,115.14,Month-to-Month,Fiber Optic,Yes,Mailed Check,Yes
26,Male,34,115.09,One Year,DSL,No,Bank Transfer,Yes
33,Male,18,61.52,Month-to-Month,Fiber Optic,No,Electronic Check,Yes
52,Male,20,103.27,Two Year,DSL,Yes,Mailed Check,Yes
35,Male,10,88.57,Two Year,DSL,Yes,Mailed Check,No
74,Male,52,52.17,Month-to-Month,DSL,Yes,Bank Transfer,Yes
36,Male,24,74.53,Month-to-Month,Fiber Optic,No,Credit Card,Yes
60,Female,61,83.64,Two Year,Fiber Optic,Yes,Bank Transfer,Yes
18,Male,71,111.43,Two Year,DSL,No,Mailed Check,No
36,Female,69,49.2,One Year,DSL,Yes,Mailed Check,No
24,Female,52,90.93,One Year,DSL,No,Credit Card,No
50,Female,20,22.43,Month-to-Month,DSL,No,Electronic Check,No
70,Female,27,10.66,One Year,DSL,Yes,Credit Card,No
56,Female,12,76.91,Month-to-Month,Fiber Optic,No,Electronic Check,Yes
63,Male,68,111.85,Month-to-Month,Fiber Optic,No,Mailed Check,Yes
18,Female,65,21.81,Month-to-Month,No,No,Credit Card,Yes
51,Male,35,98.78,Two Year,DSL,Yes,Mailed Check,No
43,Female,35,97.74,Month-to-Month,DSL,No,Bank Transfer,Yes
63,Female,56,112.34,Two Year,Fiber Optic,No,Electronic Check,Yes
67,Female,20,86.24,Two Year,No,Yes,Bank Transfer,No
74,Male,68,16.5,One Year,Fiber Optic,No,Electronic Check,No
36,Female,2,17.74,Month-to-Month,DSL,No,Mailed Check,No
29,Male,19,69.31,Month-to-Month,Fiber Optic,No,Bank Transfer,Yes
59,Male,40,24.86,Month-to-Month,DSL,No,Mailed Check,Yes
61,Female,22,28.18,Month-to-Month,DSL,No,Mailed Check,Yes
30,Female,52,99.36,One Year,Fiber Optic,No,Mailed Check,No
57,Male,62,53.73,Two Year,Fiber Optic,No,Electronic Check,Yes
33,Female,17,64.8,Month-to-Month,DSL,No,Mailed Check,No
65,Male,11,13.89,Month-to-Month,Fiber Optic,No,Credit Card,No
41,Female,14,15.33,One Year,DSL,No,Bank Transfer,No
70,Female,42,70.43,Month-to-Month,Fiber Optic,No,Credit Card,Yes
65,Female,54,25.18,Month-to-Month,DSL,No,Electronic Check,No
26,Male,31,105.96,One Year,DSL,Yes,Bank Transfer,No
68,Male,47,37.5,Month-to-Month,Fiber Optic,No,Electronic Check,Yes
26,Female,10,62.69,One Year,DSL,Yes,Bank Transfer,No
53,Female,14,47.13,Two Year,Fiber Optic,No,Bank Transfer,No
60,Female,60,81.11,One Year,Fiber Optic,No,Bank Transfer,No
66,Female,66,98.26,Month-to-Month,Fiber Optic,Yes,Electronic Check,Yes
62,Female,13,72.92,Month-to-Month,Fiber Optic,No,Mailed Check,Yes
54,Female,44,35.9,Month-to-Month,Fiber Optic,No,Mailed Check,No
74,Male,66,16.78,Month-to-Month,Fiber Optic,No,Electronic Check,Yes
57,Female,26,29.77,Month-to-Month,Fiber Optic,No,Bank Transfer,No
57,Male,54,80.47,Month-to-Month,DSL,No,Bank Transfer,Yes
24,Female,37,34.31,Month-to-Month,DSL,No,Mailed Check,Yes
53,Male,41,44.19,Month-to-Month,DSL,No,Bank Transfer,No
63,Male,36,109.78,Month-to-Month,DSL,No,Credit Card,Yes
64,Male,2,96.77,Two Year,DSL,Yes,Bank Transfer,No
48,Male,24,72.28,Month-to-Month,Fiber Optic,No,Credit Card,Yes
30,Male,25,40.23,Month-to-Month,Fiber Optic,No,Bank Transfer,Yes
67,Male,70,94.23,One Year,Fiber Optic,No,Credit Card,No
54,Male,10,30.86,One Year,Fiber Optic,No,Bank Transfer,No
22,Female,52,108.01,Month-to-Month,Fiber Optic,No,Mailed Check,Yes
58,Male,41,77.41,Month-to-Month,Fiber Optic,Yes,Electronic Check,No
66,Female,71,31.07,Two Year,Fiber Optic,No,Mailed Check,No
47,Male,16,24.56,Month-to-Month,DSL,No,Credit Card,Yes
47,Male,39,52.47,Month-to-Month,Fiber Optic,Yes,Credit Card,Yes
38,Male,49,82.64,Month-to-Month,DSL,No,Credit Card,Yes
41,Male,21,107.3,Month-to-Month,Fiber Optic,Yes,Electronic Check,Yes
58,Female,13,106.29,One Year,Fiber Optic,Yes,Mailed Check,No
53,Female,32,100.05,Month-to-Month,DSL,Yes,Mailed Check,No
20,Female,18,11.42,Month-to-Month,DSL,No,Bank Transfer,Yes
52,Female,29,55.96,One Year,Fiber Optic,Yes,Electronic Check,No
29,Male,4,28.67,Month-to-Month,DSL,No,Credit Card,Yes
19,Female,5,24.64,Two Year,DSL,Yes,Credit Card,No
24,Male,13,45.72,One Year,DSL,Yes,Electronic Check,No
21,Female,56,83.21,One Year,Fiber Optic,No,Mailed Check,Yes
40,Male,27,36.14,Two Year,Fiber Optic,Yes,Mailed Check,No
62,Female,28,45.89,Month-to-Month,Fiber Optic,No,Electronic Check,Yes
46,Male,3,13.59,Month-to-Month,Fiber Optic,No,Credit Card,No
69,Male,2,112.45,Month-to-Month,Fiber Optic,Yes,Mailed Check,Yes
40,Female,13,109.49,One Year,Fiber Optic,No,Electronic Check,Yes
36,Female,33,39.55,Month-to-Month,DSL,No,Bank Transfer,No
55,Male,55,45.44,One Year,Fiber Optic,No,Mailed Check,No
37,Male,35,74.56,Two Year,DSL,No,Mailed Check,No
27,Male,37,63.06,Month-to-Month,Fiber Optic,No,Electronic Check,Yes
55,Male,45,82.21,One Year,DSL,Yes,Credit Card,No
41,Female,16,119.68,Month-to-Month,Fiber Optic,No,Electronic Check,Yes
63,Female,27,113.96,Two Year,Fiber Optic,Yes,Credit Card,No
49,Male,63,67.13,Month-to-Month,No,Yes,Bank Transfer,No
60,Female,54,50.01,Month-to-Month,DSL,No,Bank Transfer,No
48,Female,2,27.42,Month-to-Month,Fiber Optic,No,Electronic Check,Yes
26,Male,37,19.44,One Year,DSL,Yes,Electronic Check,No
71,Female,70,19.31,One Year,Fiber Optic,Yes,Electronic Check,No
18,Male,18,112.09,Month-to-Month,No,No,Electronic Check,No
74,Male,20,96.68,Month-to-Month,No,No,Credit Card,Yes
56,Female,58,31.55,Month-to-Month,DSL,Yes,Bank Transfer,No
32,Female,18,96.5,Two Year,Fiber Optic,Yes,Credit Card,No
18,Male,33,66.86,One Year,DSL,No,Electronic Check,No
20,Male,47,17.19,One Year,Fiber Optic,No,Bank Transfer,No
29,Female,46,76.36,Month-to-Month,DSL,Yes,Mailed Check,No
59,Female,3,75.92,Month-to-Month,DSL,No,Credit Card,No
68,Female,63,95.04,Month-to-Month,Fiber Optic,Yes,Bank Transfer,Yes
50,Female,48,110.64,One Year,DSL,Yes,Electronic Check,No
33,Male,10,111.6,Month-to-Month,Fiber Optic,Yes,Bank Transfer,Yes
71,Male,40,37.67,One Year,DSL,Yes,Bank Transfer,No
26,Female,48,101.7,Two Year,DSL,No,Mailed Check,Yes
41,Female,67,58.98,Month-to-Month,DSL,No,Mailed Check,Yes
69,Female,36,72.5,One Year,DSL,No,Credit Card,No
56,Female,58,68.44,Month-to-Month,Fiber Optic,No,Mailed Check,Yes
72,Female,67,57.31,Month-to-Month,Fiber Optic,Yes,Credit Card,Yes
64,Female,10,87.13,Two Year,Fiber Optic,Yes,Mailed Check,No
20,Male,53,116.44,Month-to-Month,No,No,Electronic Check,Yes
35,Female,16,72.66,One Year,DSL,No,Electronic Check,No
20,Male,11,14.49,Month-to-Month,Fiber Optic,Yes,Credit Card,Yes
28,Male,15,109.49,Month-to-Month,Fiber Optic,No,Bank Transfer,Yes
31,Male,4,80.96,One Year,No,Yes,Credit Card,No
72,Male,66,108.11,Month-to-Month,DSL,No,Mailed Check,No
61,Male,67,104.18,Month-to-Month,DSL,No,Credit Card,No
74,Male,23,106.52,Two Year,Fiber Optic,No,Mailed Check,No
62,Female,35,86.9,Month-to-Month,DSL,No,Electronic Check,Yes
18,Female,23,95.51,Month-to-Month,Fiber Optic,No,Credit Card,Yes
36,Male,58,21.38,Month-to-Month,DSL,No,Credit Card,Yes
51,Male,15,61.61,One Year,DSL,No,Credit Card,No
22,Female,35,51.12,One Year,Fiber Optic,No,Bank Transfer,Yes
34,Female,30,21.13,One Year,DSL,No,Credit Card,No
62,Male,25,46.8,Month-to-Month,DSL,No,Bank Transfer,Yes
44,Female,43,93.56,One Year,DSL,No,Electronic Check,No
19,Female,38,106.56,Month-to-Month,Fiber Optic,No,Electronic Check,Yes
56,Male,53,65.99,Month-to-Month,Fiber Optic,No,Credit Card,Yes
69,Male,68,91.08,Month-to-Month,DSL,No,Electronic Check,Yes
31,Male,26,81.98,One Year,Fiber Optic,Yes,Mailed Check,No
67,Male,5,114.49,Month-to-Month,Fiber Optic,No,Bank Transfer,Yes
47,Female,49,113.26,Month-to-Month,DSL,No,Electronic Check,Yes
69,Female,15,103.63,One Year,No,No,Bank Transfer,No
65,Female,45,82.1,One Year,DSL,No,Credit Card,No
43,Female,58,73.96,Month-to-Month,DSL,No,Credit Card,Yes
33,Female,21,79.19,Month-to-Month,DSL,Yes,Bank Transfer,No
42,Male,65,34.5,Month-to-Month,DSL,No,Mailed Check,Yes
54,Male,22,34.41,Month-to-Month,DSL,Yes,Electronic Check,Yes
39,Male,21,55.87,Month-to-Month,DSL,No,Credit Card,No
63,Female,42,45.67,One Year,Fiber Optic,Yes,Credit Card,No
58,Female,54,92.61,Month-to-Month,DSL,No,Bank Transfer,Yes
38,Female,32,82.03,Month-to-Month,DSL,No,Mailed Check,Yes
53,Female,36,114.91,One Year,DSL,No,Credit Card,Yes
26,Female,43,42.86,Month-to-Month,Fiber Optic,No,Electronic Check,Yes
31,Female,1,55.52,Month-to-Month,Fiber Optic,No,Mailed Check,Yes
55,Female,17,110.08,One Year,DSL,Yes,Electronic Check,No
38,Male,18,35.87,Two Year,Fiber Optic,No,Credit Card,Yes
73,Female,58,99.12,Two Year,Fiber Optic,Yes,Bank Transfer,Yes
74,Male,61,40.38,Month-to-Month,Fiber Optic,No,Credit Card,Yes
51,Female,70,97.55,Month-to-Month,Fiber Optic,Yes,Mailed Check,No
42,Female,68,96.96,Two Year,No,No,Credit Card,No
27,Male,17,99.91,One Year,No,No,Electronic Check,No
31,Male,11,28.54,Month-to-Month,Fiber Optic,No,Credit Card,Yes
25,Male,8,17.63,Two Year,DSL,No,Mailed Check,No
40,Male,70,11.92,Month-to-Month,Fiber Optic,Yes,Bank Transfer,No
39,Female,42,83.32,Two Year,DSL,No,Mailed Check,Yes
37,Female,37,77.24,Month-to-Month,DSL,No,Bank Transfer,Yes
55,Male,43,89.06,Month-to-Month,DSL,No,Electronic Check,No
53,Male,12,118.06,Month-to-Month,DSL,No,Credit Card,Yes
41,Female,2,56.33,Month-to-Month,Fiber Optic,No,Electronic Check,Yes
59,Male,42,20.75,Month-to-Month,DSL,No,Credit Card,No
62,Female,17,37.26,Month-to-Month,DSL,Yes,Mailed Check,Yes
72,Male,16,76.55,Month-to-Month,Fiber Optic,No,Electronic Check,Yes
29,Female,27,49.25,Month-to-Month,Fiber Optic,No,Electronic Check,Yes
36,Female,7,59.36,Month-to-Month,DSL,No,Mailed Check,Yes
30,Female,71,23.36,Month-to-Month,DSL,No,Mailed Check,Yes
68,Female,44,18.92,One Year,DSL,No,Credit Card,No
53,Female,38,63.62,Month-to-Month,No,No,Electronic Check,Yes
59,Female,68,81.24,Month-to-Month,No,No,Mailed Check,No
59,Female,21,51.28,Month-to-Month,DSL,No,Credit Card,No
29,Male,63,88.36,Two Year,Fiber Optic,Yes,Mailed Check,Yes
26,Male,28,101.9,Two Year,DSL,No,Electronic Check,No
73,Male,70,90.27,Two Year,Fiber Optic,Yes,Mailed Check,No
34,Male,34,35.89,Month-to-Month,Fiber Optic,Yes,Mailed Check,Yes
67,Female,15,89.18,Month-to-Month,DSL,Yes,Credit Card,No
56,Male,51,89.47,Two Year,Fiber Optic,No,Credit Card,Yes
20,Female,59,97.64,Two Year,Fiber Optic,No,Electronic Check,No
73,Female,11,93.85,One Year,DSL,Yes,Credit Card,No
48,Female,48,58.68,One Year,No,No,Credit Card,Yes
18,Female,52,66.44,Two Year,Fiber Optic,No,Mailed Check,Yes
53,Female,40,110.95,Month-to-Month,Fiber Optic,No,Credit Card,Yes
62,Female,5,33.46,One Year,Fiber Optic,Yes,Electronic Check,No
61,Female,18,45.7,Month-to-Month,Fiber Optic,No,Bank Transfer,Yes
69,Male,20,35.48,Month-to-Month,DSL,No,Electronic Check,Yes
22,Male,33,61.83,Month-to-Month,DSL,Yes,Electronic Check,No
53,Male,6,42.81,One Year,Fiber Optic,No,Bank Transfer,Yes
22,Male,54,23.0,Month-to-Month,Fiber Optic,No,Mailed Check,Yes
32,Female,49,86.4,One Year,Fiber Optic,No,Electronic Check,Yes
71,Female,69,69.31,Month-to-Month,Fiber Optic,No,Electronic Check,Yes
52,Female,59,83.43,Month-to-Month,Fiber Optic,No,Bank Transfer,Yes
34,Male,71,59.06,Month-to-Month,DSL,No,Mailed Check,No
27,Female,50,91.81,Month-to-Month,Fiber Optic,No,Electronic Check,Yes
57,Female,7,90.05,One Year,DSL,Yes,Bank Transfer,No
69,Male,32,31.44,One Year,Fiber Optic,No,Electronic Check,No
28,Male,63,45.0,One Year,DSL,Yes,Mailed Check,No
36,Male,17,21.3,Month-to-Month,Fiber Optic,No,Credit Card,Yes
33,Male,18,53.7,Two Year,Fiber Optic,No,Mailed Check,Yes
64,Male,5,31.7,Two Year,Fiber Optic,No,Credit Card,Yes
46,Female,5,118.97,One Year,DSL,Yes,Bank Transfer,No
49,Female,35,77.65,Two Year,DSL,Yes,Electronic Check,No
71,Male,70,116.96,Month-to-Month,DSL,No,Electronic Check,Yes
27,Male,17,116.24,One Year,Fiber Optic,No,Credit Card,No
45,Male,20,112.93,Month-to-Month,DSL,Yes,Electronic Check,No
51,Female,49,48.38,One Year,Fiber Optic,No,Bank Transfer,No
73,Female,57,112.81,Month-to-Month,Fiber Optic,No,Bank Transfer,Yes
35,Female,11,95.81,One Year,DSL,Yes,Electronic Check,No
40,Male,2,91.85,Month-to-Month,DSL,No,Mailed Check,Yes
52,Female,28,79.03,Month-to-Month,Fiber Optic,No,Credit Card,Yes
25,Male,18,10.23,One Year,DSL,No,Electronic Check,No
46,Male,66,11.62,One Year,DSL,No,Electronic Check,Yes
38,Female,13,54.84,Month-to-Month,Fiber Optic,No,Mailed Check,Yes
35,Male,44,52.73,Month-to-Month,Fiber Optic,No,Credit Card,Yes
66,Male,53,82.21,Two Year,DSL,No,Electronic Check,Yes
18,Female,29,118.52,Month-to-Month,DSL,No,Mailed Check,Yes
32,Female,18,118.16,Month-to-Month,DSL,No,Credit Card,No
56,Male,28,37.87,Month-to-Month,Fiber Optic,No,Electronic Check,No
23,Male,62,65.95,Month-to-Month,DSL,No,Credit Card,Yes
44,Female,31,55.17,Month-to-Month,DSL,No,Electronic Check,Yes
64,Male,13,60.94,Month-to-Month,DSL,No,Electronic Check,No
19,Male,15,115.0,Month-to-Month,Fiber Optic,No,Electronic Check,Yes
64,Female,32,67.73,Month-to-Month,DSL,No,Electronic Check,Yes
30,Female,69,27.72,One Year,Fiber Optic,No,Mailed Check,No
43,Female,51,62.55,One Year,DSL,No,Electronic Check,No
23,Male,42,116.73,One Year,Fiber Optic,No,Bank Transfer,No
66,Male,4,32.16,Two Year,Fiber Optic,Yes,Mailed Check,No
49,Male,22,31.24,Two Year,DSL,No,Electronic Check,No
24,Female,2,89.04,Month-to-Month,Fiber Optic,Yes,Electronic Check,Yes
43,Male,17,12.1,Month-to-Month,Fiber Optic,Yes,Credit Card,Yes
26,Female,48,98.05,Two Year,Fiber Optic,No,Bank Transfer,Yes
36,Male,29,21.01,Two Year,DSL,No,Bank Transfer,No
29,Male,21,30.9,Month-to-Month,Fiber Optic,Yes,Electronic Check,No
73,Female,63,21.82,Month-to-Month,No,Yes,Mailed Check,No
55,Male,33,89.61,Month-to-Month,Fiber Optic,No,Bank Transfer,Yes
62,Female,35,106.35,One Year,No,No,Electronic Check,No
30,Male,66,34.22,Two Year,Fiber Optic,No,Mailed Check,No
69,Female,23,51.62,Month-to-Month,DSL,Yes,Credit Card,No
58,Male,6,30.84,Month-to-Month,DSL,No,Bank Transfer,No
62,Female,31,95.53,Month-to-Month,Fiber Optic,No,Bank Transfer,Yes
45,Female,9,44.63,One Year,DSL,No,Electronic Check,No
60,Male,27,44.35,Month-to-Month,DSL,No,Electronic Check,Yes
20,Male,5,91.79,Month-to-Month,Fiber Optic,Yes,Bank Transfer,Yes
58,Male,59,86.55,Month-to-Month,Fiber Optic,No,Electronic Check,Yes
67,Male,63,102.13,One Year,Fiber Optic,No,Credit Card,Yes
74,Male,63,93.38,Month-to-Month,Fiber Optic,No,Electronic Check,Yes
73,Male,44,47.52,Month-to-Month,DSL,Yes,Electronic Check,Yes
51,Female,66,112.59,One Year,DSL,No,Bank Transfer,Yes
55,Female,70,106.58,Month-to-Month,DSL,No,Bank Transfer,Yes
30,Female,39,29.13,Month-to-Month,DSL,No,Credit Card,Yes
63,Female,59,12.33,Month-to-Month,Fiber Optic,Yes,Mailed Check,Yes
55,Female,1,95.85,Month-to-Month,DSL,No,Electronic Check,Yes
40,Male,68,24.16,Month-to-Month,Fiber Optic,Yes,Bank Transfer,No
70,Female,35,103.25,Month-to-Month,DSL,No,Mailed Check,Yes
20,Male,54,36.63,Month-to-Month,Fiber Optic,No,Electronic Check,Yes
51,Female,51,41.89,Month-to-Month,DSL,Yes,Credit Card,Yes
